358	INTS1
359	IQSEC2
360	ST8SIA2
361	SMARCA5
362	DCLK3
363	MYO5A
364	PILRB
365	SMARCA1
366	SMARCA2
367	PTK2
368	SMARCA4
369	MED13L
370	EXT1
371	BST1
372	POLA2
373	PTK7
374	PPP1R1B
375	WNK3
376	CALM3
377	GRB2
378	INTS6
379	SCN2A
380	OR9G1
381	PTPRT
382	NRP2
383	ACY1
384	DOC2A
385	GRIK5
386	ICA1
387	OTUD7A
388	GRIK3
389	KIF14
390	GRIK4
391	GRIK2
392	BRCA1
393	BRCA2
394	SYNCRIP
395	PCM1
396	NUDCD2
397	HYAL1
398	HNF4A
399	UIMC1
400	MUC12
401	CD38
402	RAC1
403	CD34
404	BBS4
405	NDEL1
406	SREBF1
407	SEC13
408	SYN2
409	SREBF2
410	SYN1
411	PDRG1
412	MN1
413	ARHGEF9
414	CSDE1
415	MZB1
416	CD46
417	DEPDC5
418	CYLC2
419	NAPA
420	PRKN
421	INPP1
422	SATB2
423	GNAI3
424	PRICKLE2
425	PRICKLE1
426	RELA
427	GNAI1
428	CYP17A1
429	PAK1
430	MNT
431	RXRA
432	RELN
433	CYP2A13
434	SHOX
435	PAK6
436	GPC4
437	GPC6
438	PAK2
439	DYNC1I1
440	CCT4
441	TSNAX
442	DYNC1H1
443	GABBR2
444	GCA
445	HUWE1
446	TTC1
447	MYO9B
448	PEX14
449	GRIN1
450	MIB1
451	PER2
452	SH3RF3
453	PER1
454	RIT2
455	KCNS3
456	NEDD4
457	SGSM3
458	NDUFAB1
459	CCNG1
460	EPPK1
461	RTN4IP1
462	OR1C1
463	UBE3C
464	GDA
465	PCDH11X
466	UBE3A
467	PLAT
468	NR3C1
469	NR3C2
470	GRIP1
471	TBC1D31
472	KIF5C
473	MPZ
474	SCN9A
475	PPFIA1
476	EP300
477	SNIP1
478	ARID2
479	SBF1
480	RGS6
481	RGS7
482	KIRREL3
483	PDGFRB
484	CASK
485	SDHC
486	ERMN
487	POU3F3
488	TANC2
489	TERB1
490	SCN8A
491	GPD2
492	EEF1A2
493	WDFY3
494	TSNARE1
495	CARD11
496	PSMD12
497	SLC1A1
498	SLC1A2
499	CACNA1B
500	CACNA1A
501	DAPP1
502	CACNA1D
503	CACNA1C
504	RPF2
505	HIGD1A
506	CACNA1F
507	CACNA1E
508	ACACA
509	CACNA1H
510	CACNA1G
511	KCNV1
512	RAI1
513	CACNA1I
514	CALHM1
515	SNTG2
516	IRAK1
517	DEAF1
518	TAC3
519	WNT1
520	PRODH
521	CD99
522	TFAP2A
523	PRNP
524	TFAP2B
525	UBE2H
526	CRTAP
527	UBE2I
528	CNTN5
529	AUTS2
530	SYT1
531	CNTN6
532	VDR
533	BMP7
534	GGN
535	QDPR
536	VIL1
537	AHI1
538	GNAL
539	CYP11B1
540	GNB1
541	GNAS
542	CNTN3
543	TCF4
544	CNTN4
545	FBN1
546	RBM27
547	YWHAE
